animal_id,date,probe_id,session_id,protocol,experiment_group,np_probe_type,git_commit,discard
CA_176_1,20200306,CA_176_1_rec1_rec2_rec3,CA_176_1_rec1_001,locovest_loco_vest,darkness,3A,2d5bfaca4585b02fb6fcaa960a02dcc7136c7229,0
CA_176_1,20200306,CA_176_1_rec1_rec2_rec3,CA_176_1_rec2_001,sf_tf,darkness,3A,2d5bfaca4585b02fb6fcaa960a02dcc7136c7229,0
CA_176_1,20200306,CA_176_1_rec1_rec2_rec3,CA_176_1_rec3_001,sparse_noise,darkness,3A,2d5bfaca4585b02fb6fcaa960a02dcc7136c7229,0
CA_176_3,20200306,CA_176_3_rec1_rec2_rec3,CA_176_3_rec1_001,locovest_loco_vest,darkness,3A,2d5bfaca4585b02fb6fcaa960a02dcc7136c7229,0
CA_176_3,20200306,CA_176_3_rec1_rec2_rec3,CA_176_3_rec2_001,sf_tf,darkness,3A,2d5bfaca4585b02fb6fcaa960a02dcc7136c7229,0
CA_176_3,20200306,CA_176_3_rec1_rec2_rec3,CA_176_3_rec3_001,sparse_noise,darkness,3A,2d5bfaca4585b02fb6fcaa960a02dcc7136c7229,0
CAA-1112416,20200918,CAA-1112416_rec1_rec2_rec3,CAA-1112416_rec1_001,locovest_loco_vest_darkness,darkness,3A,23fd054f72,0
CAA-1112416,20200918,CAA-1112416_rec1_rec2_rec3,CAA-1112416_rec2_001,sparse_noise,darkness,3A,23fd054f72,0
CAA-1112416,20200918,CAA-1112416_rec1_rec2_rec3,CAA-1112416_rec3_001,sf_tf,darkness,3A,23fd054f72,0
CAA-1112417,20200918,CAA-1112417_rec1_rec2_rec3,CAA-1112417_rec1_001,locovest_loco_vest_darkness,darkness,3A,23fd054f72,0
CAA-1112417,20200918,CAA-1112417_rec1_rec2_rec3,CAA-1112417_rec2_001,sparse_noise,darkness,3A,23fd054f72,0
CAA-1112417,20200918,CAA-1112417_rec1_rec2_rec3,CAA-1112417_rec3_001,sf_tf,darkness,3A,23fd054f72,0
CAA-1110262,20200710,CAA-1110262_rec1_rec2_rec3,CAA-1110262_rec1_001,four_way_protocol,visual_flow,3A,f0622f62775,0
CAA-1110262,20200710,CAA-1110262_rec1_rec2_rec3,CAA-1110262_rec2_001,sparse_noise,visual_flow,3A,f0622f62775,0
CAA-1110262,20200710,CAA-1110262_rec1_rec2_rec3,CAA-1110262_rec3_001,sf_tf,visual_flow,3A,f0622f62775,0
CAA-1110264,20200708,CAA-1110264_rec1_rec2,CAA-1110264_rec1_001,four_way_protocol,visual_flow,3A,f0622f62775,0
CAA-1110264,20200708,CAA-1110264_rec1_rec2,CAA-1110264_rec2_001,sparse_noise,visual_flow,3A,f0622f62775,0
CAA-1110264,20200708,CAA-1110264_rec1_rec2,CAA-1110264_rec3_001,sf_tf,visual_flow,3A,f0622f62775,0
CAA-1110265_restricted,20200710,CAA-1110265_restricted_rec1_rec2_rec3,CAA-1110265_rec1_001,four_way_protocol,visual_flow,3A,f0622f62775,0
CAA-1110265_restricted,20200710,CAA-1110265_restricted_rec1_rec2_rec3,CAA-1110265_rec2_001,sparse_noise,visual_flow,3A,f0622f62775,0
CAA-1110265_restricted,20200710,CAA-1110265_restricted_rec1_rec2_rec3,CAA-1110265_rec3_001,sf_tf,visual_flow,3A,f0622f62775,0
CAA-1112224,20200731,CAA-1112224_rec1_rec2_rec3,CAA-1112224_rec1_001,four_way_protocol,visual_flow,3A,f0622f62775,0
CAA-1112224,20200731,CAA-1112224_rec1_rec2_rec3,CAA-1112224_rec2_001,sparse_noise,visual_flow,3A,f0622f62775,0
CAA-1112224,20200731,CAA-1112224_rec1_rec2_rec3,CAA-1112224_rec3_001,sf_tf,visual_flow,3A,f0622f62775,0
CAA-1112872,20201103,CAA-1112872_rec1_rec1b_rec2_rec3,CAA-1112872_rec1_001,mismatch_nov2020,mismatch_nov20,3A,986fafd1c8e,0
CAA-1112872,20201103,CAA-1112872_rec1_rec1b_rec2_rec3,CAA-1112872_rec1b_001,mismatch_nov2020,mismatch_nov20,3A,986fafd1c8e,0
CAA-1112872,20201103,CAA-1112872_rec1_rec1b_rec2_rec3,CAA-1112872_rec2_001,sparse_noise,mismatch_nov20,3A,986fafd1c8e,0
CAA-1112874,20201104,CAA-1112874_rec1_rec2_rec3,CAA-1112874_rec1_001,mismatch_nov2020,mismatch_nov20,3A,986fafd1c8e,0
CAA-1112874,20201104,CAA-1112874_rec1_rec2_rec3,CAA-1112874_rec2_001,sparse_noise,mismatch_nov20,3A,986fafd1c8e,0
CAA-1113219,20201216,CAA-1113219_rec1_rec2_rec3,CAA-1113219_rec1_001,mismatch_nov2020,mismatch_nov20,3A,987c67e066,0
CAA-1113219,20201216,CAA-1113219_rec1_rec2_rec3,CAA-1113219_rec2_001,sparse_noise,mismatch_nov20,3A,987c67e066,0
CAA-1113219,20201216,CAA-1113219_rec1_rec2_rec3,CAA-1113219_rec3_001,sf_tf,mismatch_nov20,3A,987c67e066,0
CAA-1113220,20201216,CAA-1113220_rec1_rec2_rec3,CAA-1113220_rec1_001,mismatch_nov2020,mismatch_nov20,3A,987c67e066,0
CAA-1113220,20201216,CAA-1113220_rec1_rec2_rec3,CAA-1113220_rec2_001,sparse_noise,mismatch_nov20,3A,987c67e066,0
CAA-1113220,20201216,CAA-1113220_rec1_rec2_rec3,CAA-1113220_rec3_001,sf_tf,mismatch_nov20,3A,987c67e066,0
CAA-1113222,20201217,CAA-1113222_rec1_rec2_rec3,CAA-1113222_rec1_001,mismatch_nov2020,mismatch_nov20,3A,987c67e066,0
CAA-1113222,20201217,CAA-1113222_rec1_rec2_rec3,CAA-1113222_rec2_001,sparse_noise,mismatch_nov20,3A,987c67e066,0
CAA-1113222,20201217,CAA-1113222_rec1_rec2_rec3,CAA-1113222_rec3_001,sf_tf,mismatch_nov20,3A,987c67e066,0
CAA-1114977,20210829,CAA-1114977_rec1_rec2_rec3,CAA-1114977_rec1_001,mismatch_jul2021,mismatch_jul21,3A,74c8d20bc,0
CAA-1114977,20210829,CAA-1114977_rec1_rec2_rec3,CAA-1114977_rec2_001,sparse_noise,mismatch_jul21,3A,74c8d20bc,0
CAA-1114978,20210829,CAA-1114978_rec1_rec2,CAA-1114978_rec1_001,mismatch_jul2021,mismatch_jul21,3A,74c8d20bc,0
CAA-1114978,20210829,CAA-1114978_rec1_rec2,CAA-1114978_rec2_001,sparse_noise,mismatch_jul21,3A,74c8d20bc,0
CAA-1114979,20210829,CAA-1114979_rec1_rec2,CAA-1114979_rec1_001,mismatch_jul2021,mismatch_jul21,3A,74c8d20bc,0
CAA-1114979,20210829,CAA-1114979_rec1_rec2,CAA-1114979_rec2_001,sparse_noise,mismatch_jul21,3A,74c8d20bc,0
CAA-1114980,20210829,CAA-1114980_rec1_rec2,CAA-1114980_rec1_001,mismatch_jul2021,mismatch_jul21,3A,74c8d20bc,0
CAA-1114980,20210829,CAA-1114980_rec1_rec2,CAA-1114980_rec2_001,sparse_noise,mismatch_jul21,3A,74c8d20bc,0
CAA-1115689,20211020,CAA-1115689_rec1_rec2,CAA-1115689_rec1_001,mismatch_darkness_oct2021,mismatch_darkness_oct21,24,f6fd9c38e51,0
CAA-1115689,20211020,CAA-1115689_rec1_rec2,CAA-1115689_rec2_001,sparse_noise,mismatch_darkness_oct21,24,f6fd9c38e51,0
CAA-1115691,20211021,CAA-1115691_rec1_rec2,CAA-1115691_rec1_001,mismatch_darkness_oct2021,mismatch_darkness_oct21,24,f6fd9c38e51,0
CAA-1115691,20211021,CAA-1115691_rec1_rec2,CAA-1115691_rec2_001,sparse_noise,mismatch_darkness_oct21,24,f6fd9c38e51,0
CAA-1121416,20240207,CAA-1121416_rec1_rec2,CAA-1121416_rec1_001,passive_protocol_always_vis,passive_same_luminance_muscimol,24,f5f34009baf1fca59cafc266024ae3351b20a0ed,0
CAA-1121416,20240207,CAA-1121416_rec1_rec2,CAA-1121416_rec2_001,passive_protocol_always_vis,passive_same_luminance_muscimol,24,f5f34009baf1fca59cafc266024ae3351b20a0ed,0
CAA-1121763,20240306,CAA-1121763_rec1_rec2,CAA-1121763_rec1_001,passive_protocol_always_vis,passive_same_luminance_muscimol,24,f5f34009baf1fca59cafc266024ae3351b20a0ed,0
CAA-1121763,20240306,CAA-1121763_rec1_rec2,CAA-1121763_rec2_001,passive_protocol_always_vis,passive_same_luminance_muscimol,24,f5f34009baf1fca59cafc266024ae3351b20a0ed,0
CAA-1121765,20240314,CAA-1121765_rec1_rec2,CAA-1121765_rec1_001,passive_protocol_always_vis,passive_same_luminance,24,f5f34009baf1fca59cafc266024ae3351b20a0ed,0
CAA-1121765,20240314,CAA-1121765_rec1_rec2,CAA-1121765_rec2_001,sparse_noise,passive_same_luminance,24,f5f34009baf1fca59cafc266024ae3351b20a0ed,1
CAA-1121766,20240314,CAA-1121766_rec1,CAA-1121766_rec1_001,passive_protocol_always_vis,passive_same_luminance,24,f5f34009baf1fca59cafc266024ae3351b20a0ed,0
